t,y,vy,ay
26.333,,,
26.355,,,
26.376,,,
26.398,,,
26.419,,,
26.440,,,
26.462,,,
26.483,-6.092,0.000,0.000
26.504,,,
26.526,,,
26.547,,,
26.568,,,
26.590,,,
26.611,,,
26.632,,,
26.654,,,
26.675,,,
26.697,,,
26.718,,,
26.739,,,
26.761,,,
26.782,,,
26.803,,,
26.825,,,
26.846,,,
26.867,,,
26.889,,,
26.910,,,
26.931,,,
26.953,,,
26.974,,,
26.996,,,
27.017,,,
27.038,,,
27.060,,,
27.081,,,
27.102,,,
27.124,,,
27.145,,,
27.166,,,
27.188,,,
27.209,,,
27.230,,,
27.252,,,
27.273,,,
27.295,,,
27.316,,,
27.337,-6.092,0.000,-4.688E-2
27.359,,,
27.380,,,
27.401,,,
27.423,,,
27.444,,,
27.465,,,
27.487,,,
27.508,,,
27.529,,,
27.551,,,
27.572,,,
27.594,,,
27.615,,,
27.636,,,
27.658,,,
27.679,,,
27.700,,,
27.722,,,
27.743,,,
27.764,,,
27.786,,,
27.807,,,
27.828,,,
27.850,,,
27.871,,,
27.893,,,
27.914,,,
27.935,,,
27.957,,,
27.978,,,
27.999,,,
28.021,,,
28.042,,,
28.063,,,
28.085,,,
28.106,,,
28.127,,,
28.149,,,
28.170,,,
28.192,-6.092,-6.850E-2,-6.962E-2
28.213,,,
28.234,,,
28.256,,,
28.277,,,
28.298,,,
28.320,,,
28.341,,,
28.362,,,
28.384,,,
28.405,,,
28.426,,,
28.448,,,
28.469,,,
28.491,,,
28.512,,,
28.533,,,
28.555,,,
28.576,,,
28.597,,,
28.619,,,
28.640,,,
28.661,,,
28.683,,,
28.704,,,
28.725,,,
28.747,,,
28.768,,,
28.790,,,
28.811,,,
28.832,,,
28.854,,,
28.875,,,
28.896,,,
28.918,,,
28.939,,,
28.960,,,
28.982,,,
29.003,,,
29.024,,,
29.046,-6.205,-0.136,0.000
29.067,,,
29.089,,,
29.110,,,
29.131,,,
29.153,,,
29.174,,,
29.195,,,
29.217,,,
29.238,,,
29.259,,,
29.281,,,
29.302,,,
29.323,,,
29.345,,,
29.366,,,
29.388,,,
29.409,,,
29.430,,,
29.452,,,
29.473,,,
29.494,,,
29.516,,,
29.537,,,
29.558,,,
29.580,,,
29.601,,,
29.622,,,
29.644,,,
29.665,,,
29.687,,,
29.708,,,
29.729,,,
29.751,,,
29.772,,,
29.793,,,
29.815,,,
29.836,,,
29.857,,,
29.879,,,
29.900,-6.318,-6.754E-2,2.344E-2
29.921,,,
29.943,,,
29.964,,,
29.986,,,
30.007,,,
30.028,,,
30.050,,,
30.071,,,
30.092,,,
30.114,,,
30.135,,,
30.156,,,
30.178,,,
30.199,,,
30.220,,,
30.242,,,
30.263,,,
30.285,,,
30.306,,,
30.327,,,
30.349,,,
30.370,,,
30.391,,,
30.413,,,
30.434,,,
30.455,,,
30.477,,,
30.498,,,
30.519,,,
30.541,,,
30.562,,,
30.584,,,
30.605,,,
30.626,,,
30.648,,,
30.669,,,
30.690,,,
30.712,,,
30.733,,,
30.754,-6.318,-6.781E-2,2.304E-2
30.776,,,
30.797,,,
30.818,,,
30.840,,,
30.861,,,
30.883,,,
30.904,,,
30.925,,,
30.947,,,
30.968,,,
30.989,,,
31.011,,,
31.032,,,
31.053,,,
31.075,,,
31.096,,,
31.117,,,
31.139,,,
31.160,,,
31.182,,,
31.203,,,
31.224,,,
31.246,,,
31.267,,,
31.288,,,
31.310,,,
31.331,,,
31.352,,,
31.374,,,
31.395,,,
31.416,,,
31.438,,,
31.459,,,
31.481,,,
31.502,,,
31.523,,,
31.545,,,
31.566,,,
31.587,,,
31.609,-6.431,-6.734E-2,-2.307E-2
31.630,,,
31.651,,,
31.673,,,
31.694,,,
31.715,,,
31.737,,,
31.758,,,
31.780,,,
31.801,,,
31.822,,,
31.844,,,
31.865,,,
31.886,,,
31.908,,,
31.929,,,
31.950,,,
31.972,,,
31.993,,,
32.014,,,
32.036,,,
32.057,,,
32.079,,,
32.100,,,
32.121,,,
32.143,,,
32.164,,,
32.185,,,
32.207,,,
32.228,,,
32.249,,,
32.271,,,
32.292,,,
32.313,,,
32.335,,,
32.356,,,
32.378,,,
32.399,,,
32.420,,,
32.442,,,
32.463,-6.431,-6.714E-2,-2.300E-2
32.484,,,
32.506,,,
32.527,,,
32.548,,,
32.570,,,
32.591,,,
32.612,,,
32.634,,,
32.655,,,
32.677,,,
32.698,,,
32.719,,,
32.741,,,
32.762,,,
32.783,,,
32.805,,,
32.826,,,
32.847,,,
32.869,,,
32.890,,,
32.911,,,
32.933,,,
32.954,,,
32.976,,,
32.997,,,
33.018,,,
33.040,,,
33.061,,,
33.082,,,
33.104,,,
33.125,,,
33.146,,,
33.168,,,
33.189,,,
33.210,,,
33.232,,,
33.253,,,
33.275,,,
33.296,,,
33.317,-6.543,-0.135,-4.627E-2
