t,Mass A,x,y,Mass B,x,y
3.166667,,0.9280618,0.7239818,,0.2371857,0.9516217
3.183333,,0.9329687,0.7279964,,0.2371857,0.9431241
3.2,,0.9374294,0.7320111,,0.2371857,0.9353347
3.216667,,0.9454588,0.7378101,,0.2364775,0.9261291
3.233333,,0.9503656,0.7404866,,0.2364775,0.9169235
3.25,,0.9579489,0.7458395,,0.2364775,0.9027609
3.266667,,0.9619636,0.7480698,,0.2364775,0.892139
3.283333,,0.9686547,0.7529767,,0.2364775,0.8829334
3.3,,0.9744537,0.7569914,,0.2364775,0.8758521
3.316667,,0.9798066,0.7618982,,0.2364775,0.8716033
3.333333,,0.9833752,0.7641286,,0.2364775,0.8623977
3.35,,0.987836,0.7663589,,0.2364775,0.8546083
3.366667,,0.9914046,0.7703736,,0.2386019,0.8461108
3.383333,,0.9976496,0.7748344,,0.2400182,0.8397376
3.4,,1.00211,0.778403,,0.2407263,0.8298239
3.416667,,1.008355,0.784202,,0.2407263,0.8220345
3.433333,,1.01237,0.7873245,,0.2407263,0.8142451
3.45,,1.015493,0.790447,,0.2407263,0.8064557
3.466667,,1.019953,0.7944617,,0.2414344,0.7958338
3.483333,,1.021292,0.7957999,,0.2421426,0.7887525
3.5,,1.025306,0.7989225,,0.2449751,0.7767144
3.516667,,1.027983,0.8011528,,0.2449751,0.7675087
3.533333,,1.031997,0.8038293,,0.2449751,0.7604275
3.55,,1.036458,0.8065058,,0.2463913,0.7498056
3.566667,,1.040473,0.8096283,,0.2478076,0.7420162
3.583333,,1.04761,0.813643,,0.2485157,0.7306861
3.6,,1.054301,0.8185498,,0.2485157,0.7200642
3.616667,,1.057424,0.8207802,,0.249932,0.7136911
3.633333,,1.060992,0.8234566,,0.2513482,0.7066098
3.65,,1.062777,0.8247949,,0.2520563,0.6988205
3.666667,,1.06813,0.8283635,,0.2534726,0.6917392
3.683333,,1.072144,0.8310399,,0.2534726,0.6846579
3.7,,1.075713,0.8332703,,0.2541807,0.6690791
3.716667,,1.08062,0.8363928,,0.2548888,0.662706
3.733333,,1.08508,0.8390693,,0.255597,0.6535003
3.75,,1.087757,0.8412996,,0.2570132,0.6421703
3.766667,,1.093556,0.8457604,,0.2570132,0.6357972
3.783333,,1.100693,0.8515594,,0.2577213,0.6258834
3.8,,1.106046,0.8564662,,0.2584295,0.618094
3.816667,,1.113183,0.8618191,,0.2584295,0.606764
3.833333,,1.119428,0.8676181,,0.2584295,0.5982665
3.85,,1.126119,0.8743092,,0.2584295,0.5876446
3.866667,,1.131472,0.8810004,,0.2598457,0.5798552
3.883333,,1.139948,0.8867994,,0.2598457,0.573482
3.9,,1.146639,0.8925983,,0.261262,0.5635683
3.916667,,1.152884,0.8988434,,0.2619701,0.5522382
3.933333,,1.156899,0.902412,,0.2626782,0.5458651
3.95,,1.160791,0.9051703,,0.2626782,0.539492
3.966667,,1.165207,0.9089553,,0.2626782,0.5288701
3.983333,,1.169623,0.9114786,,0.2640945,0.5189563
4,,1.173408,0.9162099,,0.2640945,0.5154157
4.016667,,1.178455,0.9196794,,0.2648026,0.5012531
4.033333,,1.183501,0.9234644,,0.2648026,0.49488
4.05,,1.188548,0.926934,,0.2655107,0.4828418
4.066667,,1.193279,0.9310345,,0.2655107,0.4757606
4.083333,,1.196433,0.9319807,,0.2655107,0.4693874
4.1,,1.19801,0.9341886,,0.266927,0.461598
4.116667,,1.199588,0.936712,,0.2676351,0.4566411
4.133333,,1.200849,0.9379736,,0.2683432,0.4467274
4.15,,1.204003,0.9417586,,0.2690514,0.4375217
4.166667,,1.208419,0.9455436,,0.2690514,0.4283161
4.183333,,1.211889,0.9486978,,0.2683432,0.4184023
4.2,,1.216305,0.9531136,,0.2683432,0.4106129
4.216667,,1.222613,0.9578449,,0.2683432,0.4049479
4.233333,,1.225452,0.9613145,,0.2676351,0.394326
4.25,,1.22766,0.9635224,,0.266927,0.3893691
4.266667,,1.232075,0.966992,,0.266927,0.3815797
4.283333,,1.23586,0.9701462,,0.266927,0.3752066
4.3,,1.240907,0.9736157,,0.2683432,0.3652928
4.316667,,1.246269,0.9777162,,0.2683432,0.3575034
4.333333,,1.250054,0.9805549,,0.2690514,0.3454653
4.35,,1.253839,0.9846553,,0.2690514,0.3348434
4.366667,,1.256678,0.9868633,,0.2690514,0.3256377
4.383333,,1.259517,0.989702,,0.2690514,0.3185565
4.4,,1.262671,0.9915945,,0.2690514,0.3072264
4.416667,,1.268348,0.9941178,,0.2690514,0.305102
4.433333,,1.272133,0.9963258,,0.2704676,0.2866908
4.45,,1.275288,0.9985337,,0.2711757,0.2810257
4.466667,,1.278757,1.001057,,0.2718839,0.2633226
4.483333,,1.283488,1.00358,,0.2718839,0.2555332
4.5,,1.286327,1.005473,,0.272592,0.2413707
4.516667,,1.294517,1.009287,,0.272592,0.2349975
4.533333,,1.307232,1.0073,,0.272592,0.2314569
4.55,,1.314384,1.000943,,0.2733001,0.2243756
4.566667,,1.316768,1.000148,,0.2733001,0.21517
4.583333,,1.320344,0.9985586,,0.2733001,0.2024237
4.6,,1.324715,0.9961746,,0.2733001,0.187553
4.616667,,1.329085,0.9929959,,0.2740083,0.1811799
4.633333,,1.334648,0.9886252,,0.2754245,0.1726824
